title,link
이강인(아스널) 만들고 싶으면 판돈 크게 키워야겠어…계륵 시즌 아웃 'PSG야 보낼 수 있니?',https://www.spotvnews.co.kr/news/articleView.html?idxno=724536
"'HERE WE GO' 떠버렸다…이강인 토트넘 EPL 갈수도, 7000만 유로 ‘조지아 메시+김민재 전 동료’ PSG 이적 확정",https://www.spotvnews.co.kr/news/articleView.html?idxno=724541
"충격! 웬만해선 김민재를 막을 수 없다…염증에도 ‘괴물’ 정신력, 뮌헨 팀 훈련 참가→호펜하임전 출전 가능성",https://www.spotvnews.co.kr/news/articleView.html?idxno=724535
"'대박' 이강인+손흥민 보려면 토트넘 1000억은 써야 한다…PSG, 7000만 유로도 한 차례 거절",https://www.spotvnews.co.kr/news/articleView.html?idxno=724521
"조웅천→박정배→권명철→박정배…흔들렸던 두산 코치진 올해는 다를까, 2025 코칭스태프 확정",https://www.spotvnews.co.kr/news/articleView.html?idxno=724515
"강백호는 ‘거부할 수 없는’ 제안을 받을까… 강제로 돈 아낀 kt, ‘100억 알파’ 탐색전 시작",https://www.spotvnews.co.kr/news/articleView.html?idxno=724506
"한화는 이제 류현진 이후를 생각한다… 신구장 주역될 인재 키운다, 육성 조직 개편 단행",https://www.spotvnews.co.kr/news/articleView.html?idxno=724461
"롯데 드디어 계약금 1위 유망주 터졌다…올해도 걸작 탄생 예감, 컴백→대성공 시나리오 가동",https://www.spotvnews.co.kr/news/articleView.html?idxno=724435
"""구속 포기하지 마!"" 24승 무패 기적 만든 스승의 조언, 다나카는 부활할 수 있을까",https://www.spotvnews.co.kr/news/articleView.html?idxno=724533
"시애틀은 김하성이 필요하다…美 매체 ""525억에 계약할 것, 안 할 이유 없잖아""",https://www.spotvnews.co.kr/news/articleView.html?idxno=724542
"‘안녕하세요, 혜성 씨!’ 오타니 한국어 인사, 김혜성 일본어로 화답 준비했다…“열심히 공부했다”",https://www.spotvnews.co.kr/news/articleView.html?idxno=724513
“애틀랜타 유니폼 입은 김하성 모습이 보여” 통산 106홈런 3루수의 예언은 실현될까,https://www.spotvnews.co.kr/news/articleView.html?idxno=724502
"[포토S] 에드워드 리, '물코기 아니고 디저트'",https://www.spotvnews.co.kr/news/articleView.html?idxno=724574
"[포토S] 김고은, '네스프레소 코리아 박성용 대표와 함께'",https://www.spotvnews.co.kr/news/articleView.html?idxno=724572
"[포토S] 에드워드 리-김고은, 매력적인 조합",https://www.spotvnews.co.kr/news/articleView.html?idxno=724570
"[포토S] 에드워드 리, 기분 좋은 손인사",https://www.spotvnews.co.kr/news/articleView.html?idxno=724567
"돈치치·어빙 없지만 워싱턴 있다…댈러스, 레이커스 꺾고 5연패 탈출",https://www.spotvnews.co.kr/news/articleView.html?idxno=723337
'연예계 농구 최강' 정진운 NBA 해설한다…샌안토니오 vs LA레이커스 중계,https://www.spotvnews.co.kr/news/articleView.html?idxno=723124
"'양쪽 무릎 다 아프다' 커리, 28일 LA 클리퍼스전 결장→골든스테이트는 연패 위기",https://www.spotvnews.co.kr/news/articleView.html?idxno=721715
"'2승 8패→13승 3패' 밀워키의 반전드라마…야니스, MVP까지 거머쥘까?",https://www.spotvnews.co.kr/news/articleView.html?idxno=720325
"“진짜 싹 바꿔야 한다” 유승민 신임 대한체육회장, 역대급 경쟁에서 “대반전 당선 드라마” ",https://www.spotvnews.co.kr/news/articleView.html?idxno=724495
"유승민, 대한체육회장 당선…체육계 新 시대 열렸다 “이기흥 꺾고 역전의 아이콘”",https://www.spotvnews.co.kr/news/articleView.html?idxno=724484
"'탁구 영웅' 유승민, 제42대 대한체육회장 당선…""변화 열망에 화답하겠다""",https://www.spotvnews.co.kr/news/articleView.html?idxno=724482
"'탁구왕'에서 '체육왕' 됐다…유승민, 이기흥 제치고 대한체육회장 당선 ""풀어야할 체육계 현안 많다""",https://www.spotvnews.co.kr/news/articleView.html?idxno=724479
